,score,extract,type
659,0.5794871794871795,sibelius,other
660,0.9285714285714286,bach,same
661,0.7230769230769231,bach,other
662,0.7931034482758621,mozart,same
663,0.654639175257732,mozart,other
664,0.896551724137931,glazounov,same
665,0.7164948453608248,glazounov,other
666,0.7567567567567568,free,same
667,0.6559139784946236,free,other
668,0.9302325581395349,gamme,same
669,0.6222222222222222,gamme,other
670,0.8071748878923767,Mix,same
671,,Mix,other
672,0.9310344827586207,tchai,same
673,0.7731958762886598,tchai,other
674,0.9259259259259259,sibelius,same
675,0.6683673469387755,sibelius,other
676,0.9285714285714286,bach,same
677,0.7025641025641025,bach,other
678,0.9655172413793104,mozart,same
679,0.7371134020618557,mozart,other
680,0.9310344827586207,glazounov,same
681,0.7577319587628866,glazounov,other
682,0.6486486486486487,free,same
683,0.6129032258064516,free,other
684,0.8181818181818182,gamme,same
685,0.7821229050279329,gamme,other
686,0.820627802690583,Mix,same
687,,Mix,other
688,0.896551724137931,tchai,same
689,0.7371134020618557,tchai,other
690,0.8518518518518519,sibelius,same
691,0.5867346938775511,sibelius,other
692,0.9642857142857143,bach,same
693,0.7282051282051282,bach,other
694,0.7931034482758621,mozart,same
695,0.5824742268041238,mozart,other
696,0.9310344827586207,glazounov,same
697,0.6701030927835051,glazounov,other
698,0.7297297297297297,free,same
699,0.6774193548387096,free,other
700,0.8863636363636364,gamme,same
701,0.7932960893854749,gamme,other
702,0.8295964125560538,Mix,same
703,,Mix,other
704,0.9310344827586207,tchai,same
705,0.711340206185567,tchai,other
706,0.8888888888888888,sibelius,same
707,0.5,sibelius,other
708,0.9285714285714286,bach,same
709,0.6,bach,other
710,0.8275862068965517,mozart,same
711,0.5670103092783505,mozart,other
712,0.9655172413793104,glazounov,same
713,0.7731958762886598,glazounov,other
714,0.7567567567567568,free,same
715,0.6774193548387096,free,other
716,0.8636363636363636,gamme,same
717,0.8212290502793296,gamme,other
718,0.726457399103139,Mix,same
719,,Mix,other
720,0.9310344827586207,tchai,same
721,0.8247422680412371,tchai,other
722,0.8888888888888888,sibelius,same
723,0.6122448979591837,sibelius,other
724,0.9642857142857143,bach,same
725,0.6307692307692307,bach,other
726,0.8275862068965517,mozart,same
727,0.634020618556701,mozart,other
728,0.9310344827586207,glazounov,same
729,0.7835051546391752,glazounov,other
730,0.7297297297297297,free,same
731,0.7473118279569892,free,other
732,0.8409090909090909,gamme,same
733,0.5977653631284916,gamme,other
734,0.820627802690583,Mix,same
735,,Mix,other
736,1.0,tchai,same
737,0.8195876288659794,tchai,other
738,0.8571428571428571,sibelius,same
739,0.6666666666666666,sibelius,other
740,0.8571428571428571,bach,same
741,0.5641025641025641,bach,other
742,0.8275862068965517,mozart,same
743,0.7731958762886598,mozart,other
744,0.896551724137931,glazounov,same
745,0.7422680412371134,glazounov,other
746,0.7567567567567568,free,same
747,0.6935483870967742,free,other
748,0.9302325581395349,gamme,same
749,0.7166666666666667,gamme,other
750,0.8834080717488789,Mix,same
751,,Mix,other
752,0.9310344827586207,tchai,same
753,0.7216494845360825,tchai,other
754,0.9259259259259259,sibelius,same
755,0.6428571428571429,sibelius,other
756,0.9642857142857143,bach,same
757,0.6666666666666666,bach,other
758,0.896551724137931,mozart,same
759,0.7216494845360825,mozart,other
760,0.9655172413793104,glazounov,same
761,0.7319587628865979,glazounov,other
762,0.7297297297297297,free,same
763,0.8010752688172043,free,other
764,0.8409090909090909,gamme,same
765,0.6703910614525139,gamme,other
766,0.8834080717488789,Mix,same
767,,Mix,other
768,0.9310344827586207,tchai,same
769,0.7371134020618557,tchai,other
770,0.8888888888888888,sibelius,same
771,0.6683673469387755,sibelius,other
772,0.9642857142857143,bach,same
773,0.6461538461538462,bach,other
774,0.896551724137931,mozart,same
775,0.7010309278350515,mozart,other
776,1.0,glazounov,same
777,0.7164948453608248,glazounov,other
778,0.7027027027027027,free,same
779,0.7634408602150538,free,other
780,0.9318181818181818,gamme,same
781,0.6983240223463687,gamme,other
782,0.7982062780269058,Mix,same
783,,Mix,other
784,0.896551724137931,tchai,same
785,0.6443298969072165,tchai,other
786,0.9285714285714286,sibelius,same
787,0.6153846153846154,sibelius,other
788,1.0,bach,same
789,0.7025641025641025,bach,other
790,0.8275862068965517,mozart,same
791,0.6597938144329897,mozart,other
792,0.896551724137931,glazounov,same
793,0.7422680412371134,glazounov,other
794,0.8378378378378378,free,same
795,0.5752688172043011,free,other
796,0.8372093023255814,gamme,same
797,0.7944444444444444,gamme,other
798,0.7982062780269058,Mix,same
799,,Mix,other
800,0.8620689655172413,tchai,same
801,0.6288659793814433,tchai,other
802,0.9259259259259259,sibelius,same
803,0.7602040816326531,sibelius,other
804,1.0,bach,same
805,0.6461538461538462,bach,other
806,0.8620689655172413,mozart,same
807,0.6134020618556701,mozart,other
808,0.896551724137931,glazounov,same
809,0.6082474226804123,glazounov,other
810,0.6756756756756757,free,same
811,0.7150537634408602,free,other
812,0.7954545454545454,gamme,same
813,0.7262569832402235,gamme,other
814,0.8340807174887892,Mix,same
815,,Mix,other
816,0.9310344827586207,tchai,same
817,0.6958762886597938,tchai,other
818,0.8888888888888888,sibelius,same
819,0.45918367346938777,sibelius,other
820,0.9285714285714286,bach,same
821,0.7333333333333333,bach,other
822,0.8620689655172413,mozart,same
823,0.6597938144329897,mozart,other
824,0.9310344827586207,glazounov,same
825,0.7268041237113402,glazounov,other
826,0.7567567567567568,free,same
827,0.6827956989247311,free,other
828,0.8636363636363636,gamme,same
829,0.6815642458100558,gamme,other
830,0.8834080717488789,Mix,same
831,,Mix,other
832,0.9310344827586207,tchai,same
833,0.6855670103092784,tchai,other
834,0.8214285714285714,sibelius,same
835,0.6820512820512821,sibelius,other
836,0.8928571428571429,bach,same
837,0.7230769230769231,bach,other
838,0.7931034482758621,mozart,same
839,0.6752577319587629,mozart,other
840,0.9310344827586207,glazounov,same
841,0.7835051546391752,glazounov,other
842,0.6756756756756757,free,same
843,0.7580645161290323,free,other
844,0.8372093023255814,gamme,same
845,0.7166666666666667,gamme,other
846,0.8071748878923767,Mix,same
847,,Mix,other
848,0.9310344827586207,tchai,same
849,0.8041237113402062,tchai,other
850,0.9629629629629629,sibelius,same
851,0.6173469387755102,sibelius,other
852,0.8928571428571429,bach,same
853,0.6307692307692307,bach,other
854,0.896551724137931,mozart,same
855,0.6958762886597938,mozart,other
856,0.9655172413793104,glazounov,same
857,0.7680412371134021,glazounov,other
858,0.6756756756756757,free,same
859,0.6451612903225806,free,other
